zip,total,grand_total,perc
20859,4594.5,20328513.18,0.0226012594197998
20860,27266.39,20328513.18,0.134128796132645
20861,19561.2,20328513.18,0.0962254338366717
20862,1383.5,20328513.18,0.00680571170035761
20864,111.5,20328513.18,0.000548490679139772
20865,700,20328513.18,0.00344343924123623
20866,38466.98,20328513.18,0.189226726319785
20868,2733.27,20328513.18,0.0134454988212768
20869,41.25,20328513.18,0.000202916955287135
20870,27,20328513.18,0.000132818370733398
20871,28163.28,20328513.18,0.138540776448462
20872,25675.41,20328513.18,0.126302449041185
20874,106671.36,20328513.18,0.524737638485767
20875,2971.8,20328513.18,0.0146188753387226
20876,41433.01,20328513.18,0.203817217880762
20877,75438.76,20328513.18,0.371098266420289
20878,321611.91,20328513.18,1.58207295906134
20879,38186.58,20328513.18,0.187847382943724
20880,17330.52,20328513.18,0.0852522751986134
20882,49470.73,20328513.18,0.243356361392289
20883,24499.01,20328513.18,0.120515503436341
20885,167,20328513.18,0.000821506218980644
20886,81079.51,20328513.18,0.398846237706008
20887,100,20328513.18,0.000491919891605176
20888,100,20328513.18,0.000491919891605176
20891,62,20328513.18,0.000304990332795209
20892,37.5,20328513.18,0.000184469959351941
20893,35,20328513.18,0.000172171962061812
20895,308058.19,20328513.18,1.51539951432887
20896,25793.67,20328513.18,0.126884193504997
20898,145.5,20328513.18,0.000715743442285532
20899,3250,20328513.18,0.0159873964771682
20901,265229.22,20328513.18,1.30471529152925
20902,233189.66,20328513.18,1.14710632270648
20903,62539.18,20328513.18,0.307642666466766
20904,288676.34,20328513.18,1.42005633881779
20905,97625.31,20328513.18,0.480238319131217
20906,281501.71,20328513.18,1.38476290669872
20907,881,20328513.18,0.0043338142450416
20908,175,20328513.18,0.000860859810309059
20910,645064.74,20328513.18,3.17320176979121
20911,1332,20328513.18,0.00655237295618095
20912,565004.06,20328513.18,2.77936735951685
20913,115225.42,20328513.18,0.566816761165609
20914,1686,20328513.18,0.00829376937246327
20916,2831.68,20328513.18,0.0139295971866055
20917,100,20328513.18,0.000491919891605176
20919,105,20328513.18,0.000516515886185435
20920,271,20328513.18,0.00133310290625003
20950,25,20328513.18,0.000122979972901294
20952,70,20328513.18,0.000344343924123623
20953,19258.24,20328513.18,0.0947351133330647
20954,391.7,20328513.18,0.00192685021541748
20963,45.22,20328513.18,0.000222446174983861
20978,27.5,20328513.18,0.000135277970191423
20979,3,20328513.18,1.47575967481553e-05
20985,50,20328513.18,0.000245959945802588
20991,75,20328513.18,0.000368939918703882
20992,104.1,20328513.18,0.000512088607160989
20994,1594,20328513.18,0.00784120307218651
20995,79.5,20328513.18,0.000391076313826115
20996,33.5,20328513.18,0.000164793163687734
21001,27737.74,20328513.18,0.136447460541726
21003,50,20328513.18,0.000245959945802588
21004,250,20328513.18,0.00122979972901294
21005,1301.12,20328513.18,0.00640046809365327
21009,18762.16,20328513.18,0.0922947971347897
21010,4170.9,20328513.18,0.0205174867589603
21012,78343,20328513.18,0.385384800680243
21013,5974.25,20328513.18,0.0293885241242222
21014,60621.04,20328513.18,0.298206954257931
21015,95821.03,20328513.18,0.471362706910963
21016,45,20328513.18,0.000221363951222329
21017,4196.72,20328513.18,0.0206445004749728
21019,450,20328513.18,0.00221363951222329
21020,35,20328513.18,0.000172171962061812
21022,1252,20328513.18,0.00615883704289681
21023,978.6,20328513.18,0.00481392805924825
21024,24.2,20328513.18,0.000119044613768453
21025,60,20328513.18,0.000295151934963106
21027,100,20328513.18,0.000491919891605176
21028,5138.14,20328513.18,0.0252755327185222
21029,52256.39,20328513.18,0.257059577044778
21030,88428.48,20328513.18,0.434997282964105
21032,35314.24,20328513.18,0.173717771129192
21033,127.5,20328513.18,0.0006271978617966
21034,2481.33,20328513.18,0.0122061558463667
21035,43091.73,20328513.18,0.211976791506795
21036,4457.42,20328513.18,0.0219269356323874
21037,53078.12,20328513.18,0.261101830370065
21038,5,20328513.18,2.45959945802588e-05
21040,7597.5,20328513.18,0.0373736137647033
21041,69.5,20328513.18,0.000341884324665597
21042,212014.27,20328513.18,1.04294036717151
21043,110968.32,20328513.18,0.545875239460085
21044,275218.94,20328513.18,1.35385671132492
21045,159432.62,20328513.18,0.784280771487293
21046,58188.4,20328513.18,0.286240314206786
21047,14208.02,20328513.18,0.0698920765832418
21048,10694.23,20328513.18,0.0526070446240082
21050,21222.82,20328513.18,0.104399273139562
21051,787,20328513.18,0.00387140954693274
21052,5,20328513.18,2.45959945802588e-05
21053,2589.16,20328513.18,0.0127365930654846
21054,17548.78,20328513.18,0.0863259395540309
21055,1000,20328513.18,0.00491919891605176
21056,12752.5,20328513.18,0.0627320841769501
21057,18056.99,20328513.18,0.0888259256351575
21058,205,20328513.18,0.00100843577779061
21060,52983.69,20328513.18,0.260637310416423
21061,32546.4,20328513.18,0.160102215601387
21062,371,20328513.18,0.0018250227978552
21069,24.5,20328513.18,0.000120520373443268
21071,1953.5,20328513.18,0.00960965508250712
21073,75,20328513.18,0.000368939918703882
21074,26773.02,20328513.18,0.131701810963432
21075,31803.44,20328513.18,0.156447447574717
21076,35991.71,20328513.18,0.177050380818849
21077,645,20328513.18,0.00317288330085339
21078,52199.86,20328513.18,0.256781494730054
21082,730.92,20328513.18,0.00359554087172055
21083,45,20328513.18,0.000221363951222329
21084,5903.96,20328513.18,0.029042753632413
21085,10388.52,20328513.18,0.0511031963233821
21087,2872.35,20328513.18,0.0141296610065213
21090,8394.64,20328513.18,0.0412949039886448
21093,100859.02,20328513.18,0.496145581858043
21094,2111,20328513.18,0.0103844289117853
21101,228.8,20328513.18,0.00112551271199264
21102,6690.81,20328513.18,0.0329134252995083
21104,18593.88,20328513.18,0.0914669943411966
21105,70,20328513.18,0.000344343924123623
21106,250,20328513.18,0.00122979972901294
21108,39812.55,20328513.18,0.195845852805257
21111,22119.91,20328513.18,0.108812237295163
21112,37.5,20328513.18,0.000184469959351941
21113,70935.15,20328513.18,0.348944112989969
21114,42239.22,20328513.18,0.207783125238872
21117,93614.29,20328513.18,0.460507313894955
21118,5,20328513.18,2.45959945802588e-05
21120,19602.23,20328513.18,0.0964272685681973
21122,33814.73,20328513.18,0.166341383162583
21123,281,20328513.18,0.00138229489541055
21127,61,20328513.18,0.000300071133879158
21128,7233.1,20328513.18,0.035581057679694
21130,10,20328513.18,4.91919891605176e-05
21131,30505.57,20328513.18,0.150062966877541
21132,5315.54,20328513.18,0.0261481986062298
21133,22103.65,20328513.18,0.108732251120788
21134,26,20328513.18,0.000127899171817346
21135,20,20328513.18,9.83839783210352e-05
21136,52960.24,20328513.18,0.260521955201841
21139,2115.97,20328513.18,0.010408877330398
21140,4726.27,20328513.18,0.023249462260968
21141,110,20328513.18,0.000541111880765694
21143,25,20328513.18,0.000122979972901294
21144,35828.15,20328513.18,0.17624579664414
21145,3772.63,20328513.18,0.0185583174066644
21146,70244.53,20328513.18,0.345546815834565
21147,84,20328513.18,0.000413212708948348
21150,209,20328513.18,0.00102811257345482
21152,11330.96,20328513.18,0.0557392461498259
21153,9738.41,20328513.18,0.0479051759160676
21154,2182.7,20328513.18,0.0107371354740662
21155,3240.2,20328513.18,0.0159391883277909
21156,140,20328513.18,0.000688687848247247
21157,32402.09,20328513.18,0.159392326005812
21158,22464.46,20328513.18,0.110507147281688
21160,110,20328513.18,0.000541111880765694
21160,1060.9,20328513.18,0.00521877813003932
21161,6702.56,20328513.18,0.0329712258867719
21162,1595.2,20328513.18,0.00784710611088577
21163,30176.28,20328513.18,0.148443123866474
21167,3,20328513.18,1.47575967481553e-05
21174,117,20328513.18,0.000575546273178056
21200,130,20328513.18,0.000639495859086729
21201,82719.03,20328513.18,0.406911362712853
21202,45354.85,20328513.18,0.22310952895769
21203,411.5,20328513.18,0.0020242503539553
21204,117834.82,20328513.18,0.579652918817155
21205,2978.94,20328513.18,0.0146539984189832
21206,16673.48,20328513.18,0.0820201647428107
21207,34070.12,20328513.18,0.167597697373754
21208,137641.51,20328513.18,0.677085966795728
21209,130606.97,20328513.18,0.642481665252805
21210,260565.02,20328513.18,1.28177116394501
21211,74976.25,20328513.18,0.368823087729626
21212,242068.99,20328513.18,1.19078551321774
21213,16141.18,20328513.18,0.0794016751597964
21214,32376.71,20328513.18,0.159267476737322
21215,29343.13,20328513.18,0.144344693289566
21216,9890.39,20328513.18,0.0486527957673292
21217,58129.64,20328513.18,0.285951262078479
21218,233353.34,20328513.18,1.14791149718506
21219,3516.2,20328513.18,0.0172968872286212
21220,9782.31,20328513.18,0.0481211287484823
21221,6303.52,20328513.18,0.0310082687513106
21222,11690.12,20328513.18,0.057506025632515
21223,3205.8,20328513.18,0.0157699678850787
21224,56778.43,20328513.18,0.279304391311121
21225,4071.32,20328513.18,0.0200276329308999
21226,3032.2,20328513.18,0.0149159949532522
21227,11353.08,20328513.18,0.0558480588298489
21228,103301,20328513.18,0.508158167227063
21229,23745.39,20328513.18,0.116808296749226
21230,116684.92,20328513.18,0.573996331983587
21231,51431.23,20328513.18,0.253000450867209
